,File,Normal Total,Normal Solve,Normal Unsat,Normal CPU,Pruning Total,Pruning Solve,Pruning Unsat,Pruning CPU
0,instances/room_s10_a30_w5.lp,,,,,,,,
1,instances/test_s5_a2_detour.lp,0.014,0.001,0,0.014,0.017,0.001,0,0.016
2,instances/test_s5_a2_exchange(hard).lp,,,,,,,,
3,instances/random_s10_a15_c50.lp,,,,,,,,
4,instances/room_s10_a15_w1.lp,,,,,,,,
5,instances/test_s4x2_a6_exchange.lp,0.005,0,0,0.005,,,,
6,instances/random_s10_a20_c55.lp,,,,,,,,
7,instances/test_s5_a2_square.lp,0.014,0,0,0.014,,,,
8,instances/test_s5_a1_smol.lp,0.003,0,0,0.003,,,,
9,instances/maze_s10_a25.lp,,,,,,,,
10,instances/maze_s10_a30.lp,,,,,,,,
